Value for threshold delta;MAX with Epsilon=0.01;MAX with Epsilon=0.001;MAX with Epsilon=0.00010;MAX with Epsilon=0.000010
0.59610;6;6;6;6
0.59620;6;6;6;6
0.59630;6;6;6;6
0.59640;6;6;6;6
0.59650;6;6;6;6
0.59660;6;6;6;6
0.59670;6;6;6;6
0.59680;6;6;6;6
0.59690;6;6;6;6
0.59700;6;6;6;6
0.59710;6;6;6;6
0.59720;6;6;6;6
0.59730;6;6;6;6
0.59740;6;6;6;6
0.59750;6;6;6;6
0.59760;6;6;6;6
0.59770;6;6;6;6
0.59780;6;6;6;6
0.59790;6;6;6;6
0.59800;6;6;6;6
0.59810;6;6;6;6
0.59820;6;6;6;6
0.59830;6;6;6;6
0.59840;6;6;6;6
0.59850;6;6;6;6
0.59860;6;6;6;6
0.59870;6;6;6;6
0.59880;6;6;6;6
0.59890;6;6;6;6
0.59900;6;6;6;6
0.59910;6;6;6;6
0.59920;6;6;6;6
0.59930;6;6;6;6
0.59940;6;6;6;6
0.59950;6;6;6;6
0.59960;6;6;6;6
0.59970;6;6;6;6
0.59980;6;6;6;6
0.59990;6;6;6;6
0.60000;6;6;6;6
0.60010;6;6;6;6
0.60020;6;6;6;6
0.60030;6;6;6;6
0.60040;6;6;6;6
0.60050;6;6;6;6
0.60060;6;6;6;6
0.60070;6;6;6;6
0.60080;6;6;6;6
0.60090;6;6;6;6
0.60100;6;6;6;6
0.60110;6;6;6;6
0.60120;6;6;6;6
0.60130;6;6;6;6
0.60140;6;6;6;6
0.60150;6;6;6;6
0.60160;6;6;6;6
0.60170;6;6;6;6
0.60180;6;6;6;6
0.60190;6;6;6;6
0.60200;6;6;6;6
0.60210;6;6;6;6
0.60220;6;6;6;6
0.60230;6;6;6;6
0.60240;6;6;6;6
0.60250;6;6;6;6
0.60260;6;6;6;6
0.60270;6;6;6;6
0.60280;6;6;6;6
0.60290;6;6;6;6
0.60300;6;6;6;6
0.60310;6;6;6;6
0.60320;6;6;6;6
0.60330;6;6;6;6
0.60340;6;6;6;6
0.60350;6;6;6;6
0.60360;6;6;6;6
0.60370;6;6;6;6
0.60380;6;6;6;6
0.60390;6;6;6;6
0.60400;6;6;6;6
0.60410;6;6;6;6
0.60420;6;6;6;6
0.60430;6;6;6;6
0.60440;6;6;6;6
0.60450;6;6;6;6
0.60460;6;6;6;6
0.60470;6;6;6;6
0.60480;6;6;6;6
0.60490;6;6;6;6
0.60500;6;6;6;6
0.60510;6;6;6;6
0.60520;6;6;6;6
0.60530;6;6;6;6
0.60540;6;6;6;6
0.60550;6;6;6;6
