Value for threshold delta,"EULER mit Epsilon=0.01,EULER mit Epsilon=0.001,EULER mit Epsilon=0.00010,EULER mit Epsilon=0.000010"
0.550,"8,8,8,8"
0.551,"8,8,8,8"
0.552,"8,8,8,8"
0.553,"8,8,8,8"
0.554,"8,8,8,8"
0.555,"8,8,8,8"
0.556,"8,8,8,8"
0.557,"8,8,8,8"
0.558,"8,8,8,8"
0.559,"8,8,8,8"
0.560,"8,8,8,8"
0.561,"8,8,8,8"
0.562,"8,8,8,8"
0.563,"8,8,8,8"
0.564,"8,8,8,8"
0.565,"8,8,8,8"
0.566,"8,8,8,8"
0.567,"8,8,8,8"
0.568,"8,12,12,12"
0.569,"12,12,12,12"
0.570,"12,12,12,12"
0.571,"12,12,12,12"
0.572,"12,12,12,12"
0.573,"12,12,12,12"
0.574,"12,12,12,12"
0.575,"12,12,12,12"
0.576,"12,12,12,12"
0.577,"12,12,12,12"
0.578,"12,12,12,12"
0.579,"12,12,12,12"
0.580,"7,7,7,7"
0.581,"7,7,7,7"
0.582,"7,7,7,7"
0.583,"7,7,7,7"
0.584,"7,7,7,7"
0.585,"7,7,7,7"
0.586,"7,7,7,7"
0.587,"7,7,7,7"
0.588,"7,7,7,7"
0.589,"7,7,7,7"
0.590,"7,7,7,7"
0.591,"7,7,7,7"
0.592,"7,7,7,7"
0.593,"7,7,7,7"
0.594,"7,7,7,7"
0.595,"7,7,7,7"
0.596,"7,7,7,7"
0.597,"7,7,7,7"
0.598,"7,7,7,7"
0.599,"7,7,7,7"
0.600,"7,7,7,7"
0.601,"7,7,7,7"
0.602,"7,7,7,7"
0.603,"7,7,7,7"
0.604,"7,7,7,7"
0.605,"7,7,7,7"
0.606,"7,7,7,7"
0.607,"7,7,7,7"
0.608,"7,7,7,7"
0.609,"7,7,7,7"
0.610,"7,7,7,7"
0.611,"7,7,7,7"
0.612,"7,7,7,7"
0.613,"7,7,7,7"
0.614,"7,7,7,7"
0.615,"7,7,7,7"
0.616,"7,7,7,7"
