Value for threshold delta,"NSA mit Epsilon=0.01,NSA mit Epsilon=0.001,NSA mit Epsilon=0.00010,NSA mit Epsilon=0.000010"
0.904,"4,4,4,4"
0.905,"4,4,4,4"
0.906,"4,4,4,4"
0.907,"4,4,4,4"
0.908,"4,4,4,4"
0.909,"4,4,4,4"
0.910,"4,4,4,4"
0.911,"4,4,4,4"
0.912,"4,4,4,4"
0.913,"4,4,4,4"
0.914,"6,6,6,6"
0.915,"6,6,6,6"
0.916,"6,6,6,6"
0.917,"7,7,7,7"
0.918,"7,7,7,7"
0.919,"7,7,7,7"
0.920,"7,7,7,7"
0.921,"7,7,7,7"
0.922,"7,7,7,7"
0.923,"7,7,7,7"
0.924,"7,7,7,7"
0.925,"7,7,7,7"
0.926,"7,7,7,7"
0.927,"7,7,7,7"
0.928,"7,7,7,7"
0.929,"7,7,7,7"
0.930,"7,7,7,7"
0.931,"7,7,7,7"
0.932,"7,7,7,7"
0.933,"7,7,7,7"
0.934,"7,7,7,7"
0.935,"7,7,7,7"
0.936,"7,7,7,7"
0.937,"7,7,7,7"
0.938,"7,7,7,7"
0.939,"7,7,7,7"
0.940,"7,7,7,7"
0.941,"7,7,7,7"
0.942,"7,7,7,7"
0.943,"7,7,7,7"
0.944,"7,7,7,7"
0.945,"7,7,7,7"
0.946,"7,7,7,7"
0.947,"7,7,7,7"
0.948,"7,7,7,7"
0.949,"7,7,7,7"
0.950,"7,7,7,7"
0.951,"7,7,7,7"
0.952,"7,7,7,7"
0.953,"7,7,7,7"
0.954,"7,7,7,7"
0.955,"7,7,7,7"
0.956,"7,7,7,7"
0.957,"7,7,7,7"
0.958,"7,7,7,7"
0.959,"7,7,7,7"
0.960,"7,7,7,7"
0.961,"7,7,7,7"
0.962,"7,7,7,7"
0.963,"7,7,7,7"
0.964,"7,7,7,7"
0.965,"7,7,7,7"
0.966,"7,7,7,7"
0.967,"7,7,7,7"
0.968,"7,7,7,7"
0.969,"7,7,7,7"
0.970,"7,7,7,7"
0.971,"7,7,7,7"
0.972,"7,7,7,7"
