Value for threshold delta,"NSA mit Epsilon=0.01,NSA mit Epsilon=0.001,NSA mit Epsilon=0.00010,NSA mit Epsilon=0.000010"
0.734,"7,7,5,5"
0.735,"5,7,5,5"
0.736,"5,5,7,5"
0.737,"5,5,5,5"
0.738,"7,5,5,5"
0.739,"7,5,7,5"
0.740,"7,7,7,5"
0.741,"7,11,9,5"
0.742,"8,11,7,7"
0.743,"7,11,7,7"
0.744,"7,5,7,7"
0.745,"7,5,7,7"
0.746,"7,5,11,7"
0.747,"8,7,7,7"
0.748,"8,7,7,7"
0.749,"8,13,13,7"
0.750,"7,13,13,5"
0.751,"7,13,5,5"
0.752,"7,7,5,7"
0.753,"7,7,5,7"
0.754,"7,7,7,5"
0.755,"7,7,7,7"
0.756,"7,7,7,7"
0.757,"7,11,5,8"
0.758,"8,11,7,7"
0.759,"8,11,7,7"
0.760,"7,7,8,7"
0.761,"7,7,7,13"
0.762,"7,7,7,7"
0.763,"7,7,7,7"
0.764,"8,11,7,7"
0.765,"13,13,7,7"
0.766,"8,13,7,7"
0.767,"8,13,8,7"
0.768,"8,13,8,8"
0.769,"12,8,7,7"
0.770,"8,7,7,8"
0.771,"8,8,7,7"
0.772,"8,8,8,13"
0.773,"8,8,7,11"
0.774,"8,8,7,8"
0.775,"8,8,7,7"
0.776,"8,8,8,8"
0.777,"8,8,7,7"
0.778,"8,7,7,9"
0.779,"8,8,7,13"
0.780,"8,13,8,13"
0.781,"13,8,7,13"
0.782,"8,8,7,7"
0.783,"8,8,8,7"
0.784,"8,13,8,7"
0.785,"13,8,8,8"
0.786,"8,8,7,8"
0.787,"8,8,7,7"
0.788,"8,8,13,8"
0.789,"8,8,13,13"
0.790,"8,8,11,8"
0.791,"8,8,13,8"
0.792,"8,8,8,8"
0.793,"8,8,8,9"
0.794,"8,8,7,13"
0.795,"8,8,8,13"
0.796,"8,13,13,13"
0.797,"8,8,13,13"
0.798,"8,8,13,8"
0.799,"8,8,13,8"
0.800,"8,13,8,8"
0.801,"8,8,8,8"
0.802,"8,8,8,8"
0.803,"8,8,8,8"
0.804,"8,8,8,8"
0.805,"8,8,13,8"
0.806,"8,8,13,8"
0.807,"8,8,13,8"
0.808,"8,8,8,8"
0.809,"8,8,8,8"
0.810,"8,8,8,8"
0.811,"8,8,8,13"
0.812,"8,13,13,13"
0.813,"8,13,13,13"
0.814,"8,8,13,13"
0.815,"8,8,13,8"
0.816,"8,9,8,8"
0.817,"8,13,8,8"
0.818,"8,8,8,8"
0.819,"13,8,8,8"
0.820,"13,8,8,13"
0.821,"13,8,8,8"
0.822,"13,8,8,13"
0.823,"13,8,8,8"
0.824,"13,8,8,8"
0.825,"13,8,8,8"
0.826,"13,8,8,8"
0.827,"13,8,8,13"
0.828,"13,8,8,13"
0.829,"13,13,8,13"
0.830,"13,8,8,13"
0.831,"13,8,8,8"
0.832,"13,8,8,8"
0.833,"13,13,8,8"
0.834,"13,8,8,8"
0.835,"13,8,8,8"
0.836,"13,8,8,13"
0.837,"13,8,8,13"
0.838,"13,8,8,13"
0.839,"13,8,8,8"
0.840,"13,8,8,8"
0.841,"13,8,8,8"
0.842,"13,9,8,8"
0.843,"13,13,8,8"
0.844,"13,13,8,13"
0.845,"13,13,8,13"
0.846,"13,13,8,13"
0.847,"13,13,8,8"
0.848,"13,13,8,8"
0.849,"13,13,8,8"
0.850,"13,8,8,8"
0.851,"13,8,8,8"
0.852,"8,8,9,13"
0.853,"8,8,8,13"
0.854,"8,9,8,13"
0.855,"8,8,8,9"
0.856,"8,9,9,9"
0.857,"8,8,9,9"
0.858,"8,9,13,9"
0.859,"8,13,13,13"
0.860,"8,13,13,13"
0.861,"8,13,13,13"
0.862,"8,13,13,13"
0.863,"8,13,13,13"
0.864,"8,13,13,8"
0.865,"8,13,8,8"
0.866,"8,13,8,8"
0.867,"8,13,8,9"
0.868,"8,13,9,8"
0.869,"8,13,8,8"
0.870,"8,13,8,8"
0.871,"8,13,8,8"
0.872,"9,13,9,9"
0.873,"9,13,9,13"
0.874,"8,13,13,13"
0.875,"8,13,13,13"
0.876,"9,13,13,13"
0.877,"8,13,13,13"
0.878,"8,13,13,13"
0.879,"8,13,13,13"
0.880,"8,13,13,8"
0.881,"9,13,13,8"
0.882,"8,13,8,8"
0.883,"8,13,8,8"
0.884,"8,13,8,8"
0.885,"8,13,8,8"
0.886,"8,13,8,8"
0.887,"8,13,8,8"
0.888,"13,13,8,9"
0.889,"8,13,8,13"
0.890,"8,13,8,13"
0.891,"9,13,8,13"
0.892,"13,13,8,13"
0.893,"8,13,8,13"
0.894,"8,13,8,13"
0.895,"8,13,8,13"
0.896,"8,13,8,8"
0.897,"8,13,8,8"
0.898,"8,13,8,8"
0.899,"8,13,8,9"
0.900,"13,8,8,9"
0.901,"8,8,8,8"
0.902,"8,9,8,8"
0.903,"8,13,8,9"
0.904,"13,8,8,9"
0.905,"13,8,8,13"
0.906,"8,9,8,13"
0.907,"9,13,8,13"
0.908,"13,8,8,13"
0.909,"8,8,8,13"
0.910,"8,8,8,13"
0.911,"8,8,8,13"
0.912,"8,8,8,13"
0.913,"13,8,8,8"
0.914,"8,9,13,8"
0.915,"9,13,13,8"
0.916,"13,8,13,9"
0.917,"13,8,13,8"
0.918,"8,8,13,8"
0.919,"8,8,13,8"
0.920,"8,9,13,9"
0.921,"8,8,13,9"
0.922,"8,9,13,13"
0.923,"8,13,13,13"
0.924,"8,8,13,13"
0.925,"9,8,13,13"
0.926,"8,8,13,13"
0.927,"8,8,13,13"
0.928,"8,13,13,13"
0.929,"8,8,13,8"
0.930,"8,9,13,8"
0.931,"8,13,13,8"
0.932,"8,8,13,8"
0.933,"9,8,13,8"
0.934,"8,8,13,8"
0.935,"8,13,13,8"
0.936,"8,13,13,8"
0.937,"8,8,13,9"
0.938,"8,8,13,13"
0.939,"8,13,13,13"
0.940,"9,13,13,13"
0.941,"9,8,13,13"
0.942,"8,8,13,13"
0.943,"8,8,13,13"
0.944,"8,8,13,13"
0.945,"8,8,13,13"
0.946,"8,8,13,8"
0.947,"8,9,8,9"
0.948,"9,13,8,8"
0.949,"9,8,8,9"
0.950,"13,8,8,8"
0.951,"13,8,8,9"
0.952,"13,13,8,8"
0.953,"13,9,8,9"
0.954,"13,9,8,9"
0.955,"13,9,8,13"
0.956,"13,13,8,13"
0.957,"13,8,8,13"
0.958,"8,8,8,13"
0.959,"8,8,8,13"
0.960,"8,9,8,13"
0.961,"8,9,8,13"
0.962,"8,9,8,13"
0.963,"13,9,13,13"
0.964,"13,13,8,13"
0.965,"13,13,8,13"
