AF;Ext;Ranking;Grounded
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A3,A0)]>;{A1,A0};{A1=1, A2=0.3750000000000000000000000000000000, A3=0.5, A0=0.6666666666666666666666666666666667};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A1), (A3,A0)]>;{A1,A2,A3};{A1=0.0, A2=1, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A0), (A0,A2)]>;{A1,A0};{A1=1, A2=0.3660245183887915936952714535901926, A3=0.5, A0=0.7320441988950276243093922651933701};{A1,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0), (A3,A0)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.0, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A1,A0)]>;{A1};{A1=1, A2=0.4, A3=0.5, A0=0.5};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A1), (A0,A2)]>;{A3,A0};{A1=0.5, A2=0.4, A3=0.6666666666666666666666666666666667, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=0.0, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A0)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=0.0, A0=0.0};{A1}
<{ A1, A2, A0 },[(A1,A2), (A0,A2)]>;{A1,A0};{A1=1, A2=0.3333333333333333333333333333333333, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2), (A1,A0)]>;{A1,A3};{A1=1, A2=0.4, A3=0.7142857142857142857142857142857143, A0=0.5};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3), (A3,A0)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.4615384615384615384615384615384615};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A3)]>;{A2,A0};{A1=0.0, A2=1, A3=0.5, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A0,A3)]>;{A1,A2,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A1), (A3,A1)]>;{A2,A3,A0};{A1=0.3874172185430463576158940397350993, A2=0.7207547169811320754716981132075472, A3=0.5811320754716981132075471698113207, A0=1};{A2,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A2,A3)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A3,A1)]>;{A1,A2,A0};{A1=0.0, A2=1, A3=0.5, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A3,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.3660245183887915936952714535901926, A3=0.7320441988950276243093922651933701, A0=0.0};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A3,A1)]>;{A1,A2,A3,A0};{A1=0.6956304068817543298224696745205227, A2=0.5897626634832185047806221814126114, A3=0.4375731132760947779195982044282432, A0=1};{A0}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1)]>;{A2,A0};{A1=0.0, A2=1, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A3,A2)]>;{A1,A2,A3,A0};{A1=0.7071129707112970711297071129707113, A2=0.4142259414225941422594142259414226, A3=0.7071129707112970711297071129707113, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A3)]>;{A1,A2,A0};{A1=0.0, A2=1, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.0, A0=0.0};{A1}
